time,x,x_dot,input
0,0.199999999999999,0.7,3
0.1,0.283063945329441,0.958765952456857,2.99265300075984
0.2,0.391170311301064,1.1998946605647,2.97064798863791
0.3,0.522250988089292,1.4171048690239,2.93409274417244
0.4,0.673525261145697,1.60126026182709,2.88316631493231
0.5,0.841062745825294,1.73830740758703,2.81811813854214
0.6,1.01910296439455,1.80960245862292,2.73926682093692
0.7,1.19996602525642,1.79342404386287,2.64699857583036
0.8,1.37431636353964,1.66544115439357,2.54176533304025
0.9,1.52991014568182,1.41079294513222,2.42408252493646
1,1.65284023176811,1.03376911567418,2.29452656185347
1.1,1.73223722717877,0.55350182776511,2.15373200883283
1.2,1.76040933008573,0.00560572134368881,2.00238847752392
1.3,1.73334377824333,-0.543828684814679,1.84123724846643
1.4,1.65365628165974,-1.03317191598727,1.67106764029865
1.5,1.52994995371474,-1.42130314724871,1.49271314367518
1.6,1.37336612836803,-1.69153648609631,1.30704733883014
1.7,1.19539936778783,-1.84998356713792,1.1149796167816
1.8,1.0063077463746,-1.91920030643731,0.917450725134868
1.9,0.813643480183328,-1.92571906156423,0.715428160301169
2,0.622399366652867,-1.8950948318587,0.509901428700723
2.1,0.435187006738558,-1.84829022120163,0.301877200160795
2.2,0.252774791703305,-1.79960452211861,0.0923743772473984
2.3,0.0749726822176753,-1.75803667783248,-0.117580895318963
2.4,-0.0991413619177927,-1.7273243974877,-0.326960256719614
2.5,-0.270594068768077,-1.70691865613391,-0.534738166948476
2.6,-0.440525138970198,-1.69256614680973,-0.739896929906501
2.7,-0.60918550097058,-1.67686621644269,-0.941431678076647
2.8,-0.775752725393438,-1.64939032258781,-1.13835529436446
2.9,-0.938339554983924,-1.59670707762294,-1.32970324699713
3,-1.09442097337302,-1.50536478613478,-1.51453831379957
3.1,-1.23862417069228,-1.36191843564985,-1.69195517270823
3.2,-1.36485331538936,-1.15852244912424,-1.86108483603804
3.3,-1.46755256323527,-0.895937033523781,-2.02109890678368
3.4,-1.54170605732443,-0.583528179824034,-2.17121363610771
3.5,-1.58312002513373,-0.240950692136417,-2.31069376214192
3.6,-1.59001304236648,0.100542057648405,-2.43885611129967
3.7,-1.56399811284823,0.410618889488912,-2.5550729444597
3.8,-1.50973492744037,0.663621901098007,-2.65877503163206
3.9,-1.43378343508199,0.84260850944662,-2.74945444004631
4,-1.34385295562096,0.942305197314866,-2.82666702200597
4.1,-1.24778574656468,0.966960553493296,-2.89003459032373
4.2,-1.152647371753,0.926248991214606,-2.93924677068205
4.3,-1.06426749318592,0.833708378783743,-2.97406252184648
4.4,-0.98714858577824,0.702778694433297,-2.99431131628544
4.5,-0.924571385951367,0.545722825638287,-2.99989397541403
4.6,-0.878536356423501,0.373716473646349,-2.99078315537066
4.7,-0.850013605810905,0.195975344926367,-2.9670234809473
4.8,-0.839239008664281,0.0203216274064979,-2.92873132701723
4.9,-0.845664860874078,-0.146213329635208,-2.87609424853101
5,-0.868006840476568,-0.297424971386871,-2.80937006187239
