time,x,x_dot,input
0,2.2,-3.8,0
0.1,1.81451190802241,-3.90363314393852,0
0.2,1.42047114515176,-3.9704604972659,0
0.3,1.02158588589764,-4.00061496568915,0
0.4,0.621538308694812,-3.99454421559887,0
0.5,0.223899362084088,-3.95301434965113,0
0.6,-0.167871235287646,-3.87710990676756,0
0.7,-0.550520301348744,-3.76817722780039,0
0.8,-0.920770341764001,-3.62784801429214,0
0.9,-1.27542557023198,-3.45801617218119,0
1,-1.61157950487838,-3.26076560578216,0
1.1,-1.92661496825604,-3.03837021778596,0
1.2,-2.21820408734492,-2.79329390925972,0
1.3,-2.48430829355212,-2.52819057964683,0
1.4,-2.72317954336184,-2.24582241303174,0
1.5,-2.93322171598533,-1.94893577045288,0
1.6,-3.11299481401228,-1.64059192630961,0
1.7,-3.26140215658252,-1.32383036681689,0
1.8,-3.37769804801316,-1.00164098853229,0
1.9,-3.46148777779863,-0.676964098356019,0
2,-3.51272762061066,-0.352690413530919,0
2.1,-3.53172483629828,-0.0316610616424522,0
2.2,-3.51906499893699,0.283392144664483,0
2.3,-3.47536652272207,0.589861339234717,0
2.4,-3.40160879309811,0.885012006991064,0
2.5,-3.29901526398503,1.16632988775937,0
2.6,-3.16903515188417,1.43154613755498,0
2.7,-3.01334343587828,1.67863732858269,0
2.8,-2.83384085763154,1.90582544923682,0
2.9,-2.63265392138957,2.11157790410116,0
3,-2.41209859300307,2.29460302173265,0
3.1,-2.17436593725632,2.45372277010855,0
3.2,-1.92197184331467,2.58787770907611,0
3.3,-1.65752147413271,2.69628248789722,0
3.4,-1.3836172874697,2.77843371847643,0
3.5,-1.10285903588955,2.83410997536095,0
3.6,-0.817843766760838,2.86337179574063,0
3.7,-0.531165822256774,2.86656167944798,0
3.8,-0.245397875740808,2.84428957148846,0
3.9,0.037089396639486,2.79719304898082,0
4,0.313719201893814,2.72614437288315,0
4.1,0.582004646026109,2.63223753410108,0
4.2,0.839658539588817,2.51673294062575,0
4.3,1.0845933976829,2.38105741753376,0
4.4,1.31492143995785,2.22680420698724,0
4.5,1.52895459061165,2.05573296823379,0
4.6,1.72520447839081,1.86976977760651,0
4.7,1.90232113886687,1.67034816359034,0
4.8,2.05892385608547,1.45888761458244,0
4.9,2.19402513293175,1.23996153538461,0
5,2.30704848502064,1.01795603498877,0
5.1,2.39781951596658,0.796862127021271,0.100000000000001
5.2,2.46656591738343,0.580275729742878,0.2
5.3,2.51391746888454,0.371397666048787,0.300000000000001
5.4,2.54090603808274,0.17303366346862,0.4
5.5,2.54878754264658,-0.0127809051951683,0.5
5.6,2.53875221876937,-0.184962760279829,0.600000000000001
5.7,2.51226555011761,-0.342175553145799,0.7
5.8,2.47088216399973,-0.483270575037496,0.800000000000001
5.9,2.41623979731151,-0.607301223157643,0.9
6,2.35005929653606,-0.713523000667273,1
6.1,2.2741446177438,-0.801393516685729,1.1
6.2,2.19037352916353,-0.870568345769079,1.2
6.3,2.10056507791321,-0.920793042820418,1.3
6.4,2.00668196426123,-0.951946435610716,1.4
6.5,1.91068875003879,-0.96409765799512,1.5
6.6,1.81448402252328,-0.957492848300771,1.6
6.7,1.71990039443822,-0.932555149326808,1.7
6.8,1.62870450395332,-0.889884708344365,1.8
6.9,1.54259701468446,-0.830258677096574,1.9
7,1.46316271667906,-0.754569871549518,2
7.1,1.39192934682848,-0.663749132839084,2.1
7.2,1.330486741589,-0.558936419532965,2.2
7.3,1.28025821602408,-0.441348423278863,2.3
7.4,1.24249242424557,-0.31227188650176,2.4
7.5,1.21826335941364,-0.173063602403916,2.5
7.6,1.20847035373684,-0.0251504149648689,2.6
7.7,1.2138380784721,0.129970781058565,2.7
7.8,1.23491654392467,0.29073304013229,2.8
7.9,1.27216052466811,0.455647347304518,2.9
8,1.3259866281072,0.623186725989965,3
8.1,1.39662927736158,0.791726353866996,3.1
8.2,1.48415347426809,0.959711426659671,3.2
8.3,1.58845479942653,1.12565715828923,3.3
8.4,1.70925941219965,1.28814878087413,3.4
8.5,1.84612405071318,1.44584154473001,3.5
8.6,1.99843603185581,1.59746071836969,3.6
8.7,2.16548011467815,1.74182885179113,3.7
8.8,2.3465486164035,1.8778194379998,3.8
8.9,2.54072306844863,2.004293001635,3.9
9,2.74700313765406,2.12025175178692,4
9.1,2.96431494404411,2.22484548628241,4.1
9.2,3.19151106082686,2.31737159168494,4.2
9.3,3.42737051439416,2.39727504329464,4.3
9.4,3.67059878432166,2.46414840514827,4.4
9.5,3.91983365748857,2.51775676727035,4.5
9.6,4.17393175565468,2.55883059860205,4.6
